	BMDM_veh_rep1	BMDM_veh_rep2	BMDM_DMHCA_rep1	BMDM_DMHCA_rep2	BMDM_DMHCA_rep3	BMDM_GW_rep1	BMDM_GW_rep2	BMDM_GW_rep3
Eml5	2.416	2.086	0	0	13.163	2.772	0	0
Med19	20.119	20.409	0.708	21.179	0	17.525	0	0
Pcdhb17	0	0.022	0	0	0	0	0	0
Acbd4	5.24	6.133	64.746	0	0	7.263	123.234	0
Fam151b	5.533	7.094	1.056	0	0	11.624	0	7.088
Cypt14	0	0	0	0	0	0	0	0
4930503O07Rik	0	0	0	0	0	0	0	0
5830473C10Rik	0	0	0	0	0	0	0	0
Sephs2	83.745	88.212	156.653	114.515	134.668	112.292	214.72	264.022
Mtmr14	42.912	39.863	25.155	23.485	20.844	43.143	0	0
Gm14459	0	0	0	0	0	0	0	0
Ppp1r10	32.526	33.051	77.378	4.945	0	21.153	0	16.232
Xdh	106.064	107.797	141.189	128.417	245.502	139.384	139.237	31.949
Abcd1	61.946	69.804	90.642	134.074	229.826	97.21	127.756	18.764
Zhx3	5.857	6.23	0	0	0	11.536	0	0
Msr1	87.945	81.997	0	66.07	0	85.995	15.555	101.973
Acaa1b	0.081	0.089	0	0	0	0	0	0
Gm525	0	0	0	0	0	0	0	0
Smarcad1	15.365	13.079	0	2.936	0	17.173	0	0
4930471C04Rik	0	0	0	0	0	0	0	0
AU015791	0	0	0	0	0	0	0	0
Fthl17b	0	0	0	0	0	0	0	0
Gzma	0	0	0	0	0	0	0	0
Defb28	0	0	0	0	0	0	0	0
8430437L04Rik	0	0	0	0	0	0	0	0
Gm15246	0.838	0.948	0	0	0	0	0	0
Eras	0	0	0	0	0	0	0	0
Saa3	4.915	2.864	0	0	0	0	0	74.259
Dcaf13	23.408	23.976	0	48.227	3.622	11.877	0	0
Gtf2a1	24.146	21.824	0	36.177	0	11.756	0	17.12
Gm14137	0.523	0.407	0	0	0	0	0	0
Kcnj14	0	0	0	0	0	0	0	0
Tex43	0.08	0.262	0	0	0	0	0	0
Olfr1239	0.097	0	0	0	0	0	0	0
9530052E02Rik	0.609	0.541	0	0	0	0	0	0
Krt35	0	0	0	0	0	0	0	0
