,V1
574,Ccdc174
575,Srek1ip1
576,Ppp6r2
577,Eipr1
578,Appbp2
579,2700062C07Rik
580,Dbndd2
581,Mrps12
582,Rwdd1
583,Ugcg
584,Trappc9
585,Atp5g1
586,Mtmr4
587,Mapk3
588,Zfp935
589,Pimreg
590,Iqsec2
591,Ptprj
592,2300009A05Rik
593,Stradb
594,Snrnp25
595,4930539J05Rik
596,Cks2
597,Cetn3
598,Scd2
599,Pxmp4
600,Ddx18
601,Pdp2
602,Fbxo8
603,Traf2
604,Gm45916
605,Mafk
606,Vcpkmt
607,Rnf135
608,Mettl16
609,Scarf1
610,Cenpe
611,Phf14
612,Timm17a
613,Serpinb8
614,Prps1
615,Tars2
616,Agtpbp1
617,Lamtor4
618,Mapkapk5
619,Ifrd1
620,Ncbp1
621,Iqce
622,Tmem198b
623,Ndufaf8
624,Epb41l4aos
625,Map1s
626,Gpatch3
627,Ttc27
628,Ganc
629,Taf1d
630,Pik3r6
631,Ebpl
632,Gm21992
633,Prpf39
634,Rpf1
635,Psip1
636,Lime1
637,Ahnak
638,Zfp131
639,Yipf1
640,Acot8
641,Pola2
642,Ntmt1
643,Fam208a
644,Ier2
645,Cirbp
646,Pcid2
647,Nqo1
648,Mul1
649,St3gal2
650,Parn
651,Hmbox1
652,2610524H06Rik
653,Bnip3
654,Trappc6a
655,Egln1
656,Hmgn3
657,Tmem57
658,Ppie
659,Cd28
660,Klf4
661,Insl6
662,Snrpd1
663,Tstd3
664,Rpl31
665,Arsk
666,Cdkn3
667,Lzic
668,Hdac1
669,Ift27
670,Wasl
671,Twsg1
672,Kat8
673,Actr6
674,Gbp2
675,Tmem128
676,Luc7l
677,Ndufs6
678,Zfp33b
679,Fcna
680,Pus1
681,C920021L13Rik
682,Ankrd54
683,Tmem173
684,Cby1
685,Ddx31
686,Mrps5
687,Nop16
688,Cluap1
689,Khk
690,Gipc1
691,1110065P20Rik
692,Aoah
693,Mtmr2
694,Galm
695,Itgb1
696,4930599N23Rik
697,Dpcd
698,Tshz1
699,Scpep1os
700,Gtpbp6
701,1600012H06Rik
702,Pelo
703,2410131K14Rik
704,Mlst8
705,Lss
706,Ptpn18
707,Nhlrc3
