	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	contrast
Pde4a	74.9587310943081	-0.320850664752226	1.89581413047558	-0.169241625323121	0.865606589726719	0.99998183208365	BMDM_DMHCA-BMDM_veh
Cyp4v3	300.365848200337	-0.779310743319123	0.721407599938199	-1.08026411613335	0.280024584189226	0.99998183208365	BMDM_DMHCA-BMDM_veh
Gabarapl2	21.8552150696833	-1.67154056635262	1.6770691727775	-0.996703411812334	0.318908493137889	0.99998183208365	BMDM_DMHCA-BMDM_veh
Ctnnd1	865.347077725802	0.0692951724229322	0.445818450250602	0.155433612906734	0.876479486898767	0.99998183208365	BMDM_DMHCA-BMDM_veh
Speg	219.385245266338	0.627409356831561	0.849411973893231	0.738639642617546	0.460125845386474	0.99998183208365	BMDM_DMHCA-BMDM_veh
Hgs	271.371634635417	-0.0132165411366809	1.06399935959452	-0.012421568695039	0.990089276981042	0.99998183208365	BMDM_DMHCA-BMDM_veh
Gpalpp1	220.157422802241	-0.245482861387993	1.59745802003716	-0.153670931134881	0.877869206084314	0.99998183208365	BMDM_DMHCA-BMDM_veh
Pum1	274.604329345204	0.0119029906163206	1.40137338612214	0.00849380381716707	0.993223006559255	0.99998183208365	BMDM_DMHCA-BMDM_veh
Pls3	179.169440498646	0.00219637448821758	1.59992608892359	0.00137279747072271	0.99890466643704	0.99998183208365	BMDM_DMHCA-BMDM_veh
Thap7	126.143764250105	1.21753008491614	1.71931406458436	0.708148737915707	0.478852896019665	0.99998183208365	BMDM_DMHCA-BMDM_veh
Cav2	252.561716070737	-0.85130005882434	1.36863351796907	-0.622007314337586	0.533937058473659	0.99998183208365	BMDM_DMHCA-BMDM_veh
Dirc2	147.854333769693	0.784706146017284	1.40441408955893	0.558742718298794	0.576337320703443	0.99998183208365	BMDM_DMHCA-BMDM_veh
Arhgef1	640.860841268324	-0.52852262883093	0.526983081196234	-1.00292143655011	0.315898768792331	0.99998183208365	BMDM_DMHCA-BMDM_veh
4930470G03Rik	23.5074921693924	-5.48398714186694	1.21517868429621	-4.51290597237812	6.39453760275539e-06	0.000237423590996065	BMDM_DMHCA-BMDM_veh
Cnot9	209.329593189068	-0.298383555852958	1.47136521206434	-0.202793673118262	0.839296303311572	0.99998183208365	BMDM_DMHCA-BMDM_veh
Cct6a	168.589550926815	-1.21689106569356	1.72422513958289	-0.705761120028643	0.480336704472752	0.99998183208365	BMDM_DMHCA-BMDM_veh
Xylt1	33.329910370891	-5.71826266339782	1.39467715080461	-4.10006191045639	4.13039627678522e-05	0.00061817236814125	BMDM_DMHCA-BMDM_veh
Psmf1	59.6925389494855	-1.13202318243938	1.8132946670605	-0.624290802263534	0.532436623263492	0.99998183208365	BMDM_DMHCA-BMDM_veh
Gpank1	39.589343007719	0.160670776673261	1.69578052635345	0.0947473886958488	0.924515476520202	0.99998183208365	BMDM_DMHCA-BMDM_veh
Mgst3	76.2738754437692	-0.715523075256588	1.91195665315925	-0.374236034103745	0.708228717213783	0.99998183208365	BMDM_DMHCA-BMDM_veh
Chd8	536.743330961125	0.334671057595249	0.42482112581859	0.787792878591829	0.430817867264553	0.99998183208365	BMDM_DMHCA-BMDM_veh
Pdha1	164.055732735425	-1.10632946477804	1.59078502943183	-0.695461325263527	0.486766240148597	0.99998183208365	BMDM_DMHCA-BMDM_veh
Son	1261.82720425705	-0.495099335901885	0.371151546895028	-1.33395466095663	0.182218715882762	0.826786503852666	BMDM_DMHCA-BMDM_veh
Upf3a	23.3666137302705	-5.47780105965862	1.21361898228406	-4.51360858689709	6.37337941215595e-06	0.000237423590996065	BMDM_DMHCA-BMDM_veh
Ncbp3	59.5113359897683	-1.54695617883792	1.78920437541042	-0.864605631474087	0.387255280551527	0.99998183208365	BMDM_DMHCA-BMDM_veh
Sirt3	11.9855658351892	-4.70077673905773	1.10021352479426	-4.27260402923765	1.93203367936873e-05	0.000359600328907099	BMDM_DMHCA-BMDM_veh
Fads1	499.192560275909	0.153290273193779	0.501331671096093	0.305766186402368	0.759782675518055	0.99998183208365	BMDM_DMHCA-BMDM_veh
Fam20b	114.342790461972	-2.54900084134059	1.66651134578286	-1.52954304679107	0.126129876079808	0.644467430517336	BMDM_DMHCA-BMDM_veh
Smim20	53.7974024363482	0.374142990770975	1.4418750001395	0.259483652005047	0.795262093984271	0.99998183208365	BMDM_DMHCA-BMDM_veh
Ube2g1	96.9268867211764	-0.695234373546729	1.90946312311078	-0.364099397957524	0.715783786377453	0.99998183208365	BMDM_DMHCA-BMDM_veh
Cltc	1888.36555558704	-1.32344906216292	0.341654831735068	-3.87364362869355	0.000107220168005118	0.00122468429987366	BMDM_DMHCA-BMDM_veh
Pknox1	52.4294864587846	-0.616468329708861	1.77896078180097	-0.346532838731142	0.728942309458953	0.99998183208365	BMDM_DMHCA-BMDM_veh
Fip1l1	120.708012383796	-0.278603373656448	1.91940507567229	-0.145150899717645	0.884591731620285	0.99998183208365	BMDM_DMHCA-BMDM_veh
Eno1	394.818653912213	-0.191444457140793	1.16240174161797	-0.164697324759956	0.869182222758851	0.99998183208365	BMDM_DMHCA-BMDM_veh
Adam15	995.107289387103	-0.0647450803729385	1.25725885840096	-0.051497016656764	0.958929479062137	0.99998183208365	BMDM_DMHCA-BMDM_veh
Fbxo18	127.471266605188	-0.665984691482138	1.90572191647112	-0.349465830101468	0.726739619302653	0.99998183208365	BMDM_DMHCA-BMDM_veh
Mrc1	611.671870202139	0.552609685000159	0.491335548515207	1.12470934918127	0.260712218651463	0.99998183208365	BMDM_DMHCA-BMDM_veh
1700020I14Rik	119.285262226499	0.0830161241380801	1.80461969520382	0.0460020049424896	0.963308651890021	0.99998183208365	BMDM_DMHCA-BMDM_veh
Yod1	64.4754659258658	1.00723107769991	1.63848546961587	0.614732993595635	0.538731066939106	0.99998183208365	BMDM_DMHCA-BMDM_veh
Ier5	342.087850636079	-0.2164791541128	1.33339544529361	-0.162351802593065	0.871028823168789	0.99998183208365	BMDM_DMHCA-BMDM_veh
Hpgds	812.212674528939	-0.279505112786655	0.567883322144756	-0.492187570733779	0.62258675024508	0.99998183208365	BMDM_DMHCA-BMDM_veh
Zmynd11	345.851346867552	0.420119006960071	0.814124167818025	0.516037999567134	0.605827869415803	0.99998183208365	BMDM_DMHCA-BMDM_veh
Tgfbr1	810.564331868502	-0.805788464681741	0.462701083806695	-1.7414881721314	0.0815980447533192	0.45742803285194	BMDM_DMHCA-BMDM_veh
Pkd2	78.4838175175347	-1.88596254080368	1.8366984069122	-1.02682211391162	0.304504234411555	0.99998183208365	BMDM_DMHCA-BMDM_veh
Gmps	93.1993004854176	-0.781289239769038	1.76832919967292	-0.441823411564741	0.65861699582194	0.99998183208365	BMDM_DMHCA-BMDM_veh
Lrch3	339.897911424234	0.75451842377995	0.633732089335674	1.19059526332475	0.233812512014766	0.955985714262207	BMDM_DMHCA-BMDM_veh
Inip	161.645793897634	0.482481186509897	1.63135760436914	0.295754398188174	0.767417650730495	0.99998183208365	BMDM_DMHCA-BMDM_veh
Cdkn1b	274.866775923364	0.567130628568617	1.05167805675458	0.539262586041542	0.589705680866162	0.99998183208365	BMDM_DMHCA-BMDM_veh
Tmod3	706.691003088226	0.707460279510046	0.769854172853745	0.918953620641669	0.358119831595977	0.99998183208365	BMDM_DMHCA-BMDM_veh
Acod1	134.250622304154	0.160270760046712	1.70352903561642	0.0940816133425738	0.925044326017012	0.99998183208365	BMDM_DMHCA-BMDM_veh
Parp10	215.985674338758	0.711186612156991	1.51422376150444	0.46967075160041	0.63859026749572	0.99998183208365	BMDM_DMHCA-BMDM_veh
Snu13	12.2533216353995	-4.72923484245971	1.10161146537975	-4.29301526997947	1.76262878809029e-05	0.000344873369220984	BMDM_DMHCA-BMDM_veh
Rpl8	1049.82854466561	-0.402754733501215	0.404167764722304	-0.996503849776194	0.319005397486479	0.99998183208365	BMDM_DMHCA-BMDM_veh
Mrps17	80.2094889648564	0.0973806860614889	1.91465294585925	0.0508607506504457	0.959436481451482	0.99998183208365	BMDM_DMHCA-BMDM_veh
Trim41	158.191420509647	-0.246824043769536	1.70578956322736	-0.144697827381793	0.884949454603846	0.99998183208365	BMDM_DMHCA-BMDM_veh
Vps4a	132.425000029637	-0.0893249944434714	1.60640191291349	-0.0556056325166253	0.955655977350233	0.99998183208365	BMDM_DMHCA-BMDM_veh
Cyfip2	202.341990193661	-1.13768205443126	1.44663727145416	-0.786432146385709	0.431614356635888	0.99998183208365	BMDM_DMHCA-BMDM_veh
Wfdc17	272.784705820075	1.2266567852237	1.11459309843308	1.1005422399871	0.271095936026199	0.99998183208365	BMDM_DMHCA-BMDM_veh
Nav1	693.515053016691	-0.496789679802091	0.783956279291894	-0.633695644673979	0.526279467839466	0.99998183208365	BMDM_DMHCA-BMDM_veh
Wdr13	286.200371577089	0.395431730090095	0.998865085517555	0.395881021194373	0.692192802595135	0.99998183208365	BMDM_DMHCA-BMDM_veh
Hif1an	292.151986331141	0.921884893219993	0.890258644049871	1.0355247875227	0.300423896548744	0.99998183208365	BMDM_DMHCA-BMDM_veh
Pomt2	145.938914570674	1.26883174529132	1.69806603530952	0.747221673896822	0.454929763167521	0.99998183208365	BMDM_DMHCA-BMDM_veh
Dld	115.995399129871	-1.79313206135935	1.86579147804378	-0.961057054049463	0.336523481532843	0.99998183208365	BMDM_DMHCA-BMDM_veh
Fam98b	80.4813884781071	0.100322632991204	1.90700930938158	0.0526073116149276	0.958044791213561	0.99998183208365	BMDM_DMHCA-BMDM_veh
Nacc1	272.410799065048	-0.304901568674686	2.04720926353602	-0.148935223235581	0.881604747041634	0.99998183208365	BMDM_DMHCA-BMDM_veh
Nudt16	25.7883651432494	-0.375506893358082	1.20731598101583	-0.311026193028715	0.755780709336364	0.99998183208365	BMDM_DMHCA-BMDM_veh
Etfrf1	28.3805432788672	-1.35047228828114	1.35176429113503	-0.99904420995409	0.317773275331306	0.99998183208365	BMDM_DMHCA-BMDM_veh
Slc7a6os	40.4065891330194	-0.259295611494722	1.68960743956064	-0.153465003422422	0.878031586573846	0.99998183208365	BMDM_DMHCA-BMDM_veh
